Family	Success	Comments	Tree
Kwadi-Khoe	SUCCESS	GA: converged after 1182 iterations out of 10000 with residual SSE error 7.02785985332969e-06	((('Deti [i-shg][w-det][a-1287][g-shua1254]':0.116,'Khoe [i-xuu][w-kxo][a-652][g-kxoe1243]':0.115,'//Ani [i-hnh][w-ani][a-651][g-anii1246]':0.116)'Kalahari [i-][w-][a-][g-]':0.16,'Nharo [i-nhr][w-nro][a-606][g-naro1249]':0.0539,('Kwadi [i-kwz][w-][a-151][g-kwad1244]':0.139)'Kwadi [i-][w-][a-][g-]':0.139,('Korana [i-kqz][w-krn][a-739][g-kora1292]':0.116,'Nama [i-naq][w-kho][a-199][g-nama1264]':0.116)'Khoekhoe [i-][w-][a-][g-]':0.162)'Kwadi-Khoe [i-][w-][a-][g-]':1);
Ju	SUCCESS	GA: converged after 150 iterations out of 10000 with residual SSE error 3.15003458565645e-11	(('Ju|`hoan [i-ktz][w-juh][a-1832][g-juho1239]':0.164,'!Xu [i-knw][w-xun][a-579][g-kung1261]':0.164,'!Kung [i-knw][w-xun][a-148][g-kung1261]':0.164)'Ju [i-][w-][a-][g-]':1);
Hadza	FAIL	GA: too few languages	
Sandawe	FAIL	GA: too few languages	
Kordofanian	SUCCESS	GA: converged after 341 iterations out of 10000 with residual SSE error 3.61489422142205e-08	(('Tima [i-tms][w-tia][a-3177][g-tima1241]':0.164,'Jomang [i-tlo][w-jom][a-2583][g-talo1250]':0.164,'Otoro [i-otr][w-otr][a-2263][g-otor1240]':0.164,'Masakin [i-jle][w-msk][a-1931][g-ngil1242]':0.164,'Lafofa [i-laf][w-laf][a-1863][g-lafo1243]':0.164,'Katla [i-kcr][w-ktl][a-1717][g-katl1237]':0.164,'Rashad [i-ras][w-ori-ras][a-1387][g-tega1236]':0.164,'Tiro [i-tic][w-][a-743][g-tira1254]':0.164,'Moro [i-mor][w-mro][a-742][g-moro1285]':0.164,'Orig [i-ras][w-ori-ras][a-323][g-tega1236]':0.164)'Kordofanian [i-][w-][a-][g-]':1);
Kwa	SUCCESS	GA: converged after 2009 iterations out of 10000 with residual SSE error 0.00181934185974947	(('Avikam [i-avi][w-avk][a-3137][g-avik1243]':0.108,'Dangme [i-ada][w-][a-3046][g-adan1247]':0.106,'Ga [i-gaa][w-ga][a-1514][g-gaaa1244]':0.11,('Lelemi [i-lef][w-llm][a-1878][g-lele1264]':0.14,'Kposo [i-kpo][w-kpo][a-1805][g-ikpo1238]':0.141,'Avatime [i-avn][w-avt][a-941][g-avat1244]':0.138)'Ka-Togo [i-][w-][a-][g-]':0.129,('Logba [i-lgq][w-][a-2973][g-logb1245]':0.126,'Akan [i-aka][w-akn][a-2645][g-akan1250]':0.126,'Nkonya [i-nko][w-nkn][a-2181][g-nkon1245]':0.123,'Chumburung [i-ncu][w-cum][a-2146][g-chum1261]':0.123,'Ega [i-ega][w-ega][a-1322][g-egaa1242]':0.122,'Anufo [i-cko][w-anu][a-1157][g-anuf1239]':0.125,'Baule [i-bci][w-ble][a-974][g-baou1238]':0.123,'Anyi [i-any][w-ayi][a-901][g-anyi1245]':0.119)'Potou-Tano [i-][w-][a-][g-]':0.134,'Alladian [i-ald][w-ald][a-875][g-alla1248]':0.106,'Adioukrou [i-adj][w-adi][a-835][g-adio1239]':0.107,'Abidji [i-abi][w-abd][a-823][g-abid1235]':0.105,('Gungbe [i-guw][w-guw][a-3149][g-gunn1250]':0.125,'Aja {Benin} [i-ajg][w-ajg][a-3045][g-ajab1235]':0.128,'Wemenugbe [i-wem][w-wmn][a-2715][g-weme1239]':0.133,'Fongbe [i-fon][w-fon][a-1492][g-fonn1241]':0.129,'Ewe {Anglo} [i-ewe][w-ewa-ewe][a-1289][g-ewee1241]':0.129,'Ewe [i-ewe][w-ewa-ewe][a-75][g-ewee1241]':0.13)'Gbe [i-][w-][a-][g-]':0.139)'Kwa [i-][w-][a-][g-]':1);
Mande	SUCCESS	GA: converged after 4100 iterations out of 10000 with residual SSE error 2.74102381432024e-05	((('Wan [i-wan][w-wna][a-3187][g-wann1242]':0.119,'Toura [i-neb][w-][a-2864][g-tour1242]':0.12,'Beng [i-nhb][w-bnq][a-2165][g-beng1286]':0.117,'Mano [i-mev][w-man][a-1971][g-mann1248]':0.121,'Guro [i-goa][w-gro][a-1554][g-guro1248]':0.117,'Dan {Blowo} [i-dnj][w-][a-1259][g-blow1238]':0.117,'Busa [i-bqp][w-bus][a-1059][g-busa1253]':0.116,'Boko [i-bqc][w-bok][a-1058][g-boko1266]':0.117,'Bisa [i-bib][w-bis][a-1016][g-biss1248]':0.119,'Yaoure [i-yre][w-][a-507][g-yaou1238]':0.119,'Dan [i-dnj][w-][a-490][g-dann1241]':0.122)'East Mande [i-][w-][a-][g-]':0.187,('Jalonke [i-yal][w-][a-2983][g-yalu1240]':0.111,'Vai [i-vai][w-vai][a-2683][g-vaii1241]':0.117,'Susu [i-sus][w-sus][a-2493][g-susu1250]':0.118,'Soninke [i-snk][w-snn][a-2458][g-soni1259]':0.114,'Mauka [i-mxx][w-mka][a-2113][g-maho1249]':0.117,'Maninka [i-emk][w-mnk][a-2044][g-east2426]':0.115,'Maninka {Western} [i-mlq][w-maw][a-2032][g-west2500]':0.117,'Mende [i-men][w-mde][a-1978][g-mend1266]':0.117,'Loma [i-lom][w-lma][a-1910][g-loma1260]':0.118,'Loko [i-lok][w-lok][a-1909][g-loko1255]':0.115,'Kpelle [i-kpe][w-][a-1800][g-kpel1252]':0.117,'Koranko [i-knk][w-kko][a-1745][g-kura1250]':0.116,'Xasonga [i-kao][w-xas][a-1699][g-xaas1235]':0.115,'Bandi [i-bza][w-bnd][a-1521][g-band1352]':0.114,'Dyula [i-dyu][w-dyu][a-1454][g-dyul1238]':0.117,'Mandinka {Gambian} [i-mnk][w-mdk-mkg][a-1359][g-mand1436]':0.113,'Bozo {Tigemaxo} [i-boz][w-boz][a-1054][g-tiey1235]':0.116,'Bobo Fing [i-bbo][w-][a-972][g-nort2819]':0.117,'Jeli [i-jek][w-][a-649][g-jeri1242]':0.116,'Bambara [i-bam][w-bam][a-516][g-bamb1269]':0.114,'Mandinka [i-mnk][w-mdk-mkg][a-172][g-mand1436]':0.114)'West Mande [i-][w-][a-][g-]':0.132)'Mande [i-][w-][a-][g-]':1);
North Atlantic	SUCCESS	GA: converged after 599 iterations out of 10000 with residual SSE error 2.63653866145695e-07	(('Diola-Kasa [i-csk][w-csk][a-3144][g-jola1262]':0.164,'Bandial [i-bqj][w-][a-3026][g-band1340]':0.164,'Wolof [i-wol][w-wlf][a-2735][g-nucl1347]':0.164,'Noon [i-snf][w-noo][a-2455][g-noon1242]':0.165,'Ndut [i-ndv][w-ndt][a-2150][g-ndut1239]':0.165,'Manjaku [i-mfv][w-mjk][a-1977][g-mand1419]':0.165,'Mankanya [i-knf][w-mkn][a-1929][g-mank1251]':0.164,'Fula {Nigerian} [i-fuv][w-fni][a-1511][g-nige1253]':0.164,'Fulfulde {Maasina} [i-ffm][w-fum][a-1508][g-maas1239]':0.164,'Fula {Burkina Faso} [i-fuh][w-fbf-fli][a-1507][g-west2454]':0.164,'Fula {Guinean} [i-fuf][w-fgu][a-1506][g-pula1262]':0.164,'Fula {Senegal} [i-fuc][w-fma-fus][a-1504][g-pula1263]':0.164,'Palor [i-fap][w-plr][a-1487][g-palo1243]':0.164,'Ful {Liptako} [i-fuh][w-fbf-fli][a-1292][g-west2454]':0.165,'Fula {Mauritanian} [i-fuc][w-fma-fus][a-1291][g-pula1263]':0.165,'Fulani {Gombe} [i-fub][w-fgo-fua][a-1290][g-adam1253]':0.164,'Konyagi [i-cou][w-kgi][a-1173][g-wame1240]':0.165,'Basari [i-bsc][w-bsr][a-1071][g-bass1258]':0.164,'Balanta [i-bjt][w-][a-1027][g-bala1302]':0.164,'Biafada [i-bif][w-bfd][a-1018][g-biaf1240]':0.164,'Diola-Fogny [i-dyo][w-dio][a-524][g-jola1263]':0.164,'Fula [i-fub][w-fgo-fua][a-80][g-adam1253]':0.164)'North Atlantic [i-][w-][a-][g-]':1);
Ijoid	SUCCESS	GA: converged after 105 iterations out of 10000 with residual SSE error 2.53026431273031e-12	(('Defaka [i-afn][w-def][a-845][g-defa1248]':0.13,'Ijo [i-ijc][w-ijo][a-305][g-izon1238]':0.198)'Ijoid [i-][w-][a-][g-]':1);
Adamawa-Ubangi	SUCCESS	GA: converged after 1124 iterations out of 10000 with residual SSE error 1.36952519529762e-07	(('Mayogo [i-mdm][w-myg][a-3164][g-mayo1261]':0.164,'Munzumbo [i-moj][w-mnz][a-3162][g-monz1249]':0.164,'Mambai [i-mcs][w-mmi][a-3161][g-mamb1294]':0.164,'Mono [i-mnh][w-][a-3088][g-mono1270]':0.164,'Waja [i-wja][w-][a-3041][g-waja1259]':0.164,'Ngbaka Ma`bo [i-nbm][w-nbm][a-2913][g-ngba1284]':0.165,'Zande [i-zne][w-zan][a-2802][g-zand1248]':0.164,'Yakoma [i-yky][w-ykm][a-2778][g-yako1252]':0.164,'Tupuri [i-tui][w-tpr][a-2636][g-tupu1244]':0.164,'Nzakara [i-nzk][w-nza][a-2235][g-nzak1247]':0.164,'Lua [i-nie][w-lua][a-2170][g-niel1243]':0.164,'Ngbaka [i-nga][w-ngb][a-2157][g-ngba1285]':0.164,'Ndogo [i-ndz][w-ndg][a-2151][g-ndog1248]':0.165,'Mondunga [i-ndt][w-mga][a-2149][g-ndun1249]':0.164,'Samba Leko [i-ndi][w-sle][a-2148][g-samb1305]':0.164,'Mumuye [i-mzm][w-mum][a-2096][g-nucl1240]':0.164,'Mundu [i-muh][w-mdu][a-2095][g-mund1326]':0.164,'Mundang [i-mua][w-mdg][a-2093][g-mund1325]':0.164,'Ma [i-msj][w-ma][a-2083][g-made1252]':0.164,'Mba [i-mfc][w-mba][a-1974][g-mbaa1245]':0.164,'Mbodomo [i-gso][w-][a-1961][g-sout2785]':0.164,'Mbum [i-mdd][w-mbm][a-1956][g-mbum1254]':0.164,'Linda [i-liy][w-lnd][a-1892][g-band1344]':0.164,'Kosop [i-kia][w-ksp][a-1753][g-kimm1246]':0.165,'Koh {Lakka} [i-xuo][w-klk][a-1749][g-kuoo1238]':0.164,'Gbaya Kara [i-gya][w-gbk][a-1586][g-nort2775]':0.165,'Gula Iro [i-glj][w-gir][a-1548][g-gula1265]':0.164,'Doyayo [i-dow][w-doy][a-1382][g-doya1240]':0.165,'Dongo [i-doo][w-dgo][a-1380][g-dong1290]':0.165,'Day [i-dai][w-day][a-1214][g-dayy1236]':0.164,'Barambu [i-brm][w-bbu][a-1065][g-bara1361]':0.165,'Baka {Cameroon} [i-bkc][w-bak][a-1029][g-baka1272]':0.164,'Ngbandi [i-nbw][w-ndi][a-605][g-sout2784]':0.165,(((('Dii [i-dur][w-ygd][a-489][g-diii1241]':0.0329)'Adamawa-Ubangi [i-][w-][a-][g-]':0.0329)'Group3 [i-][w-][a-][g-]':0.0329)'Group2 [i-][w-][a-][g-]':0.0329)'Group1 [i-][w-][a-][g-]':0.0329,'Sango [i-sag][w-san][a-466][g-sang1328]':0.164,'Gbeya [i-gbp][w-gbb][a-85][g-gbay1287]':0.164)'Adamawa-Ubangi [i-][w-][a-][g-]':1);
